850nm,640nm,940nm,580nm
892120,-1.02508e+06,1.01475e+06,-1.40387e+06
892261,-1.02504e+06,1.01357e+06,-1.40373e+06
892843,-1.02593e+06,1.01221e+06,-1.40393e+06
892056,-1.02628e+06,1.01001e+06,-1.40478e+06
892229,-1.02691e+06,1.00766e+06,-1.40502e+06
892500,-1.02675e+06,1.00614e+06,-1.40448e+06
893368,-1.02737e+06,1.00463e+06,-1.40351e+06
893161,-1.02773e+06,1.00355e+06,-1.40451e+06
892613,-1.02862e+06,1.0023e+06,-1.40395e+06
893019,-1.02877e+06,1.00105e+06,-1.40405e+06
893916,-1.02872e+06,1.00025e+06,-1.40318e+06
893533,-1.02848e+06,999311,-1.40357e+06
893287,-1.029e+06,998349,-1.40365e+06
893802,-1.0288e+06,997904,-1.40317e+06
893707,-1.02879e+06,996799,-1.40314e+06
893592,-1.02929e+06,995477,-1.40334e+06
893899,-1.02968e+06,995440,-1.40335e+06
894283,-1.02954e+06,997595,-1.40314e+06
893846,-1.02669e+06,1.00487e+06,-1.403e+06
893724,-1.0243e+06,1.01524e+06,-1.40374e+06
892687,-1.02158e+06,1.02968e+06,-1.40299e+06
891442,-1.01709e+06,1.0425e+06,-1.40331e+06
891273,-1.01382e+06,1.05518e+06,-1.4032e+06
890710,-1.01141e+06,1.06023e+06,-1.40339e+06
889997,-1.01144e+06,1.06091e+06,-1.40365e+06
890640,-1.01337e+06,1.05823e+06,-1.40358e+06
890952,-1.01366e+06,1.05307e+06,-1.40357e+06
891775,-1.01642e+06,1.04675e+06,-1.40402e+06
891455,-1.01796e+06,1.04149e+06,-1.40417e+06
891421,-1.02007e+06,1.03665e+06,-1.40442e+06
891965,-1.01998e+06,1.03319e+06,-1.40482e+06
892240,-1.02115e+06,1.02957e+06,-1.40481e+06
891956,-1.02239e+06,1.02546e+06,-1.40469e+06
892573,-1.02466e+06,1.02067e+06,-1.40466e+06
892824,-1.02414e+06,1.01898e+06,-1.40425e+06
892875,-1.02439e+06,1.01741e+06,-1.40485e+06
892943,-1.02503e+06,1.01589e+06,-1.4058e+06
892340,-1.025e+06,1.01706e+06,-1.40476e+06
892353,-1.02464e+06,1.01752e+06,-1.40408e+06
893309,-1.02447e+06,1.01948e+06,-1.40404e+06
892892,-1.02337e+06,1.01971e+06,-1.40495e+06
892991,-1.02413e+06,1.02005e+06,-1.40433e+06
892351,-1.02399e+06,1.02073e+06,-1.40444e+06
893004,-1.02353e+06,1.01969e+06,-1.40407e+06
893372,-1.02418e+06,1.01791e+06,-1.4045e+06
892655,-1.02504e+06,1.01598e+06,-1.40518e+06
892767,-1.02603e+06,1.01397e+06,-1.40436e+06
893370,-1.02555e+06,1.01186e+06,-1.4041e+06
893889,-1.02657e+06,1.01026e+06,-1.40503e+06
893479,-1.02732e+06,1.00842e+06,-1.40425e+06
893332,-1.02741e+06,1.006e+06,-1.40438e+06
