Time(s),out1,out2,out3
1.22267217,163.10991,-105.41703,-85.414856
1.226578471,163.27477,-102.36908,-86.909714
1.230484772,163.10851,-100.7479,-86.625839
1.234391073,163.17886,-104.89418,-87.501808
1.238297374,163.00209,-102.35116,-86.78447
1.242203675,163.26541,-104.17212,-87.824295
1.246109975,163.00914,-104.9688,-88.083214
1.250016276,163.27063,-102.0968,-85.950943
1.253922577,163.549,-105.66031,-86.744247
1.257828878,163.78925,-103.28072,-85.928696
1.261735179,163.5619,-103.98325,-87.431618
1.26564148,163.30675,-107.46687,-85.740448
1.269547781,163.32408,-100.51893,-82.987442
1.273454081,163.56914,-102.93675,-85.770615
1.277360382,163.38483,-103.29108,-85.534607
1.281266683,163.15593,-102.71416,-86.684418
1.285172984,163.13583,-106.0991,-85.477768
1.289079285,163.0358,-104.13466,-85.088455
1.292985586,163.30109,-103.06215,-83.223122
1.296891887,163.21759,-106.4104,-87.63105
1.300798187,163.21486,-103.09771,-85.580894
1.304704488,163.2722,-106.38485,-85.947426
1.308610789,163.02956,-98.932076,-84.509361
1.31251709,163.03418,-101.95081,-87.150116
1.316423391,163.34825,-102.74472,-84.62558
1.320329692,163.24332,-103.73038,-87.526199
1.324235993,163.30293,-102.29408,-83.377258
1.328142294,163.24692,-104.34212,-87.435883
1.332048594,163.43637,-103.13122,-87.607208
1.335954895,163.42926,-102.58949,-86.518364
1.339861196,163.67905,-105.08085,-87.093826
1.343767497,163.47859,-104.13911,-85.249954
1.347673798,163.51784,-101.26009,-87.767647
1.351580099,163.60574,-102.22327,-87.990005
1.3554864,163.43898,-105.88152,-86.720856
1.3593927,163.38184,-102.03838,-86.308746
1.363299001,163.20158,-105.16672,-87.753456
1.367205302,163.18161,-101.24026,-86.770973
1.371111603,162.90894,-102.49098,-86.707336
1.375017904,163.15361,-105.14754,-85.62941
1.378924205,163.13983,-103.61471,-85.872452
1.382830506,163.18788,-106.94676,-84.682999
1.386736806,163.08937,-103.05834,-86.031258
1.390643107,162.92329,-102.35692,-87.154396
1.394549408,162.95042,-103.85274,-87.927803
1.398455709,162.80945,-100.98426,-87.412796
1.40236201,163.17168,-105.56978,-86.398178
1.406268311,162.94539,-107.3113,-86.262611
1.410174612,163.11255,-105.43386,-89.811668
1.414080913,163.24284,-106.25731,-88.241669
1.417987213,163.02293,-99.726585,-87.647888
1.421893514,163.2565,-103.50597,-88.249855
1.425799815,163.30913,-104.51919,-86.39621
1.429706116,163.09735,-108.77508,-90.288521
1.433612417,163.1991,-104.788,-87.171127
1.437518718,162.91974,-105.76915,-87.892502
1.441425019,162.99789,-102.18488,-87.686363
1.445331319,163.11813,-101.53377,-89.342606
1.44923762,163.02351,-102.64678,-88.966827
1.453143921,163.0143,-102.96363,-87.286377
1.457050222,162.78302,-101.27921,-90.403732
1.460956523,162.87886,-101.96093,-88.27076
1.464862824,162.78578,-101.33459,-89.109985
1.468769125,162.71683,-103.57185,-86.21917
1.472675425,162.64148,-100.5647,-89.507057
1.476581726,163.08096,-104.03937,-89.011093
1.480488027,162.97603,-101.96272,-90.414291
1.484394328,162.82436,-105.71503,-90.330841
1.488300629,163.04314,-102.05854,-90.413971
1.49220693,162.75954,-103.33743,-90.132378
1.496113231,162.85977,-104.74863,-89.831604
1.500019532,162.98553,-104.23642,-89.790009
1.503925832,162.67445,-107.07107,-90.043343
1.507832133,162.77454,-102.52145,-89.467567
1.511738434,163.01108,-103.07042,-89.519615
1.515644735,163.16565,-106.20407,-89.708023
1.519551036,162.49997,-103.36317,-88.62542
1.523457337,162.97501,-103.57499,-90.06459
1.527363638,162.89526,-102.3149,-89.774658
1.531269938,162.77806,-103.60956,-88.902069
1.535176239,162.92786,-105.11388,-88.032188
1.53908254,162.73685,-100.94454,-90.328125
1.542988841,162.62498,-103.73646,-88.707092
1.546895142,162.84456,-104.10192,-90.744881
1.550801443,162.8241,-103.31019,-90.693581
1.554707744,163.26633,-101.77988,-89.47036
1.558614044,162.75226,-104.68259,-89.268471
1.562520345,162.73875,-103.44001,-90.457687
1.566426646,162.97081,-101.57936,-90.882805
1.570332947,162.85963,-103.33498,-88.981049
1.574239248,162.8622,-103.15936,-91.138329
1.578145549,162.62445,-103.34187,-90.228142
1.58205185,162.94659,-101.9554,-88.384193
1.58595815,162.86363,-102.0127,-89.309616
1.589864451,163.00424,-105.1586,-90.922249
1.593770752,162.66455,-106.17436,-89.284698
1.597677053,162.78592,-100.08501,-90.731804
1.601583354,162.75427,-98.737411,-89.282715
1.605489655,162.66202,-102.38012,-89.585838
1.609395956,162.47226,-101.62321,-87.661011
1.613302257,162.56979,-102.70901,-89.114708
1.617208557,162.62549,-100.79887,-90.687248
1.621114858,162.72498,-100.4989,-88.060837
1.625021159,162.3605,-105.13898,-89.800087
1.62892746,162.63885,-102.0528,-90.968719
1.632833761,162.78407,-102.31083,-89.12764
1.636740062,162.42894,-104.25787,-90.616882
1.640646363,162.54593,-103.9519,-91.077454
1.644552663,162.97946,-104.28996,-86.798752
1.648458964,162.61792,-103.44215,-90.19735
1.652365265,162.56317,-103.57452,-89.11689
1.656271566,162.49931,-102.37087,-88.096413
1.660177867,162.82265,-100.73022,-90.051895
1.664084168,162.40645,-104.60719,-87.59687
1.667990469,162.5984,-103.14761,-89.614738
1.671896769,162.62245,-106.97759,-86.319252
1.67580307,162.7001,-103.43405,-88.747864
1.679709371,162.73576,-103.49633,-87.007469
1.683615672,162.89168,-105.31518,-87.132561
1.687521973,162.72707,-103.03874,-84.398056
1.691428274,163.04343,-102.27901,-86.894012
1.695334575,162.74287,-102.56744,-87.423378
1.699240876,162.70419,-104.17642,-85.542732
1.703147176,163.06743,-103.64376,-85.080856
1.707053477,162.62167,-101.80325,-84.348541
1.710959778,163.21431,-103.97034,-86.484474
1.714866079,162.80449,-104.22544,-88.700226
1.71877238,163.15068,-104.36256,-85.547913
1.722678681,163.233,-104.781,-84.552002
1.726584982,163.06691,-104.53753,-84.525238
1.730491282,163.28679,-102.10365,-85.276459
1.734397583,163.0351,-106.77067,-86.277641
1.738303884,163.07217,-103.07148,-87.436508
1.742210185,163.31287,-105.48719,-84.165802
1.746116486,163.20448,-102.00848,-85.747574
1.750022787,163.64256,-102.45206,-85.584984
1.753929088,163.63011,-102.64483,-84.420029
1.757835388,163.3243,-101.1985,-85.409378
1.761741689,163.86493,-105.36086,-86.911263
1.76564799,163.72298,-105.68427,-87.535141
1.769554291,163.83868,-103.97221,-84.201035
1.773460592,163.7997,-103.69226,-88.850349
1.777366893,163.63535,-102.20689,-86.791618
1.781273194,163.70274,-103.48331,-86.637863
1.785179495,163.75127,-103.69013,-85.979774
1.789085795,163.9386,-103.38284,-86.382645
1.792992096,163.59608,-104.61593,-86.448128
1.796898397,163.86707,-102.67264,-88.303551
1.800804698,163.51485,-101.94886,-88.046295
1.804710999,163.74873,-105.38168,-88.397224
1.8086173,163.52843,-101.94491,-90.591072
1.812523601,163.6922,-102.11897,-89.558838
1.816429901,163.65863,-103.40273,-89.973473
1.820336202,163.75232,-103.6041,-90.839264
1.824242503,164.04683,-102.9605,-88.640236
1.828148804,163.66084,-106.43226,-88.098251
1.832055105,163.45016,-104.70871,-89.884995
1.835961406,163.67825,-103.66604,-90.989471
1.839867707,163.60139,-103.16982,-90.367485
1.843774007,163.76158,-106.60735,-90.756065
1.847680308,163.61415,-100.7494,-92.285126
1.851586609,163.62376,-103.06163,-92.132248
1.85549291,163.8253,-103.30431,-89.633842
1.859399211,163.7036,-101.77502,-88.197609
1.863305512,163.52742,-104.17539,-93.084274
1.867211813,163.8558,-103.21883,-92.168182
1.871118114,163.73061,-104.09093,-94.714645
1.875024414,163.94852,-102.30804,-94.209167
1.878930715,163.78876,-101.38329,-93.631912
1.882837016,163.73755,-105.39063,-93.697205
1.886743317,163.85818,-102.20252,-95.549355
1.890649618,164.18893,-108.12068,-95.085999
1.894555919,163.84326,-104.89865,-94.889839
1.89846222,163.6548,-103.74872,-95.020218
1.90236852,164.02252,-102.53027,-98.785782
1.906274821,164.06056,-102.84099,-97.861153
1.910181122,163.95023,-102.17864,-97.52272
1.914087423,164.09453,-103.16483,-98.638138
1.917993724,164.24519,-101.70864,-99.252243
1.921900025,163.83401,-106.22233,-97.704277
1.925806326,163.64252,-102.61182,-99.885864
1.929712626,163.78845,-103.53465,-100.32611
1.933618927,163.83223,-102.40709,-97.849602
1.937525228,163.93137,-101.09552,-100.91289
1.941431529,163.94116,-104.23617,-99.38633
1.94533783,163.51949,-106.01673,-102.57454
1.949244131,163.96335,-98.823196,-102.05041
1.953150432,163.9756,-104.60033,-103.64783
1.957056733,163.69089,-103.54336,-101.7754
1.960963033,163.64438,-100.1353,-103.98337
1.964869334,163.72668,-100.534,-105.76324
1.968775635,163.92145,-103.78759,-103.17327
1.972681936,164.01051,-103.49224,-103.03133
1.976588237,163.59869,-101.78268,-104.15773
1.980494538,163.83575,-105.48964,-103.40606
1.984400839,163.94839,-102.68771,-104.50363
1.988307139,163.82436,-101.2327,-106.89704
1.99221344,163.9892,-102.10068,-102.75063
1.996119741,164.08289,-104.11076,-104.68676
2.000026042,163.56772,-103.07693,-104.857
2.003932343,163.74724,-103.11777,-107.55708
2.007838644,163.76895,-103.60229,-105.12386
2.011744945,163.87903,-99.340279,-106.04691
2.015651245,164.11101,-101.38364,-104.7573
2.019557546,164.34402,-101.38763,-105.23335
2.023463847,164.54636,-102.30842,-105.70281
2.027370148,164.60464,-101.72352,-105.77972
2.031276449,164.37613,-102.99606,-104.38985
2.03518275,164.40939,-102.56557,-107.56055
2.039089051,164.50226,-99.843239,-108.42661
2.042995352,164.65707,-102.92974,-103.78569
2.046901652,164.60597,-101.13633,-105.78041
2.050807953,164.46037,-102.32568,-103.74422
2.054714254,164.64247,-99.109612,-105.58537
2.058620555,164.99738,-100.99127,-103.94355
